"index","citations","year","Abstract"
"0","87","1987","Inverse matrix calculation can be considered as an optimization. We have demonstrated that this problem can be rapidly solved by highly interconnected simple neuron-like analog processors. A network for matrix inversion based on the concept of Hopfield's neural network\xc2\xa0\xe2\x80\xa6"""
"1","94","1987","Many connectionist learning models are implemented using a gradient descent in a least squares error function of the output and teacher signal. The present model Fneralizes. in particular. back-propagation [1] by using Minkowski-r power metrics. For small r\'s a"" city-block"" error metric is approximated and for large r\'s the"" maximum"" or"" supremum"" metric is approached. while for r= 2 the standard backpropagation model results. An implementation of Minkowski-r back-propagation is described. and several experiments are done which\xc2\xa0\xe2\x80\xa6'"
"2","1","1987","Amir F. Atiya (*) and James M. Bower (**)(*) Dept. of Electrical Engineering (**) Division of Biology California Institute of Technology Ca 91125 Being able to record the electrical activities of a number of neurons simultaneously is likely to be important in the\xc2\xa0\xe2\x80\xa6'"
"3","5","1987","In the visual cortex of the monkey the horizontal organization of the preferred orientations of orientation-selective cells follows two opposing rules: 1) neighbors tend to have similar orientation preferences, and 2) many different orientations are observed in a local region. Several orientation models which satisfy these constraints are found to differ in the spacing and the topological index of their singularities. Using the rate of orientation change as a measure, the models are compared to published experimental results.'"
"4","45","1987","The study of distributed memory systems has produced a number of models which work well in limited domains. However, until recently, the application of such systems to realworld problems has been difficult because of storage limitations, and their inherent architectural (and for serial simulation, computational) complexity. Recent development of memories with unrestricted storage capacity and economical feedforward architectures has opened the way to the application of such systems to complex pattern recognition problems. However, such\xc2\xa0\xe2\x80\xa6'"
"5","66","1987","This paper generalizes the backpropagation method to a general network containing feedback t; onnections. The network model considered consists of interconnected groups of neurons, where each group could be fully interconnected (it could have feedback\xc2\xa0\xe2\x80\xa6'"
"6","22","1987","A lightness algorithm that separates surface reflectance from illumination in a Mondrian world is synthesized automatically from a set of examples, pairs of input (image irradiance) and desired output (surface reflectance). The algorithm, which resembles a new lightness algorithm recently proposed by Land, is approximately equivalent to filtering the image through a center-surround receptive field in individual chromatic channels. The synthesizing technique, optimal linear estimation, requires only one assumption, that the\xc2\xa0\xe2\x80\xa6'"
"7","73","1987","Recognizing patterns with temporal context is important for such tasks as speech recognition, motion detection and signature verification. We propose an architecture in which time serves as its own representation, and temporal context is encoded in the state of the nodes. We contrast this with the approach of replicating portions of the architecture to represent time. As one example of these ideas, we demonstrate an architecture with capacitive inputs serving as temporal feature detectors in an otherwise standard back\xc2\xa0\xe2\x80\xa6'"
"8","0","1987","The interaction of a set of tropisms is sufficient in many cases to explain the seemingly complex behavioral responses exhibited by varied classes of biological systems to combinations of stimuli. It can be shown that a straightforward generalization of the tropism\xc2\xa0\xe2\x80\xa6'"
"9","252","1987","We propose that the back propagation algorithm for supervised learning can be generalized, put on a satisfactory conceptual footing, and very likely made more efficient by defining the values of the output and input neurons as probabilities and varying the synaptic weights in the gradient direction of the log likelihood, rather than the'error'. In the past thirty years many researchers have studied the question of supervised learning in'neural'-like networks. Recently a learning algorithm called'back propagationH-4 or the'generalized delta-rule'has\xc2\xa0\xe2\x80\xa6"""
"10","0","1987","Recent experimental work on the stimulus velocity dependent time resolving power of the neural units, situated in the highest order optic ganglion of the blowfly, revealed the at first sight amazing phenomenon that at this high level of the fly visual system, the time constants of these units which are involved in the processing of neural activity evoked by moving objects, are-roughly spokeninverse proportional to the velocity of those objects over an extremely wide range. In this paper we will discuss the implementation of a two dimensional\xc2\xa0\xe2\x80\xa6'"
"11","1","1987","The aim of this paper is to explore the spatial organization of neural networks under Markovian assumptions, in what concerns the behaviour of individual cells and the interconnection mechanism. Spaceorganizational properties of neural nets are very relevant in image modeling and pattern analysis, where spatial computations on stochastic two-dimensional image fields are involved. As a first approach we develop a random neural network model, based upon simple probabilistic assumptions, whose organization is studied\xc2\xa0\xe2\x80\xa6'"
"12","0","1987","A synthetic neural network simulation of cerebral neocortex was developed based on detailed anatomy and physiology. Processing elements possess temporal nonlinearities and connection patterns similar to those of cortical neurons. The network was able to replicate spatial and temporal integration properties found experimentally in neocortex. A certain level of randomness was found to be crucial for the robustness of at least some of the network's computational capabilities. Emphasis was placed on how synthetic simulations can be of\xc2\xa0\xe2\x80\xa6"""
"13","9","1987","We propose learning rules for recurrent neural networks with high-order interactions between some or all neurons. The designed networks exhibit the desired associative memory function: perfect storage and retrieval of pieces of information and/or sequences of information of any complexity.'"
"14","10","1987","We propose a new scheme to construct neural networks to classify patterns. The new scheme has several novel features:'"
"15","7","1987","There are three existing connection::; t models in which network states are assigned a computational energy. These models-Hopfield nets, Hopfield and Tank nets, and Boltzmann Machines-search for states with minimal energy. Every link in the network can be thought of as imposing a constraint on acceptable states, and each violation adds to the total energy. This is convenient for the designer because constraint satisfaction problems can be mapped easily onto a network. Multiple constraints can be superposed, and those states satisfying\xc2\xa0\xe2\x80\xa6'"
"16","59","1987","An information-theoretic optimization principle is proposed for the development of each processing stage of a multilayered perceptual network. This principle of"" maximum information preservation"" states that the signal transformation that is to be realized at each stage is one that maximizes the information that the output signal values (from that stage) convey about the input signals values (to that stage), subject to certain constraints and in the presence of processing noise. The quantity being maximized is a Shannon information rate\xc2\xa0\xe2\x80\xa6'"
"17","3","1987","In this paper, we wish to analyze the convergence behavior of a number of neuronal plasticity models. Recent neurophysiological research suggests that the neuronal behavior is adaptive. In particular, memory stored within a neuron is associated with the synaptic weights which are varied or adjusted to achieve learning. A number of adaptive neuronal models have been proposed in the literature. Three specific models will be analyzed in this paper, specifically the Hebb model, the Sutton-Barto model, and the most recent trace\xc2\xa0\xe2\x80\xa6'"
"18","0","1987","The ANN model presents a series of advantages to the implementation of such systems. First, the hardware requirements, with constraints on power, size, and processing speeds, can be taken into account together with the development of the underlining software, before the actual neural structures are totally defined. Second, the ANN model, since it is an abstraction of natural neurons, carries the necessary ingredients and is a close mapping for implementing the necessary functions. Third, some of the processing, like sorting and\xc2\xa0\xe2\x80\xa6'"
"19","12","1987","This paper outlines a schema for movement control based on two stages of signal processing. The higher stage is a neural network model that treats the cerebellum as an array of adjustable motor pattern generators. This network uses sensory input to preset and to trigger elemental pattern generators and to evaluate their performance. The actual patterned outputs, however, are produced by intrinsic circuitry that includes recurrent loops and is thus capable of self-sustained activity. These patterned outputs are sent as motor\xc2\xa0\xe2\x80\xa6'"
"20","5","1987","Coarse-coded symbol memories have appeared in several neural network symbol processing models. In order to determine how these models would scale, one must first have some understanding of the mathematics of coarse-coded representations. We define the general structure of coarse-coded symbol memories and derive mathematical relationships among their essential parameters: memory 8ize, 8ymbol-8et size and capacity. The computed capacity of one of the schemes agrees well with actual measurements oC tbe\xc2\xa0\xe2\x80\xa6'"
"21","15","1987","To us, and to other biological organisms, vision seems effortless. We open our eyes and we"" see"" the world in all its color, brightness, and movement. Yet, we have great difficulties when trying to endow our machines with similar abilities. In this paper we shall describe recent\xc2\xa0\xe2\x80\xa6'"
"22","13","1987","The functional components of a neural network model implemented in* Lisp are stored in a uniform parallel variable (pvar) data structure on the CM. The data structure may be viewed as columns of pvars. Columns are given to all CM virtual processors. Each CM physical processor may support 16 virtual processors. In the fust approach described, CM processors are used to represent the edge set of a models graph structure. In the second approach described, each processor can represent a unit, an outgoing link, or an incoming link in a\xc2\xa0\xe2\x80\xa6'"
"23","12","1987","To process sensory data, sensory brain areas must preserve information about both the similarities and differences among learned cues: without the latter, acuity would be lost, whereas without the former, degraded versions of a cue would be erroneously thought to be distinct cues, and would not be recognized. We have constructed a model of piriform cortex incorporating a large number of biophysical, anatomical and physiological parameters, such as two-step excitatory firing thresholds, necessary and sufficient conditions for long-term\xc2\xa0\xe2\x80\xa6'"
"24","2","1987","Intracellular recordings in spinal cord motoneurons and cerebral cortex neurons have provided new evidence on the correlational strength of monosynaptic connections, and the relation between the shapes of postsynaptic potentials and the associated increased firing probability. In these cells, excitatory postsynaptic potentials (EPSPs) produce crosscorrelogram peaks which resemble in large part the derivative of the EPSP. Additional synaptic noise broadens the peak, but the peak area--ie, the number of above-chance firings\xc2\xa0\xe2\x80\xa6'"
"25","108","1987","Error propagation nets have been shown to be able to learn a variety of tasks in which a static input pattern is mapped outo a static output pattern. This paper presents a generalisation of these nets to deal with time varying, or dynamic patterns, and three possible architectures are explored. As an example, dynamic nets are applied to tbe problem of speech coding, in which a time sequence of speech data are coded by one net and decoded by another. The use of dynamic nets gives a better signal to noise ratio than\xc2\xa0\xe2\x80\xa6'"
"26","5","1987","Transient phenomena associated with forward biased silicon p+-n-n+ structures at 4.2 K show remarkable similarities with biological neurons. The devices play a role similar to the two-terminal switching elements in Hodgkin-Huxley equivalent circuit diagrams. The devices\xc2\xa0\xe2\x80\xa6'"
"27","620","1987","How Neural Nets Work Alan Lapedes Robert Farber Theoretical Division Los Alamos National Laboratory Los Alamos, NM 87545 There is presently great interest in the abilities of neural networks to mimic"" qualitative reasoning"" by manipulating neural incodings of\xc2\xa0\xe2\x80\xa6'"
"28","230","1987","Previous work on nets with continuous-valued inputs led to generative procedures to construct convex decision regions with two-layer perceptrons (one hidden layer) and arbitrary decision regions with three-layer perceptrons (two hidden layers). Here we demonstrate that two-layer perceptron classifiers trained with back propagation can form both convex and disjoint decision regions. Such classifiers are robust, train rapidly, and provide good performance with simple decision regions. When complex decision regions\xc2\xa0\xe2\x80\xa6'"
"29","5","1987","A class of high dens ity assoc iat ive memories is constructed, starting from a description of desired properties those should exhib it. These propert ies include high capac ity, controllable bas ins of attraction and fast speed of convergence. Fortunately enough, the\xc2\xa0\xe2\x80\xa6'"
"30","109","1987","Many optimization models of neural networks need constraints to restrict the space of outputs to a subspace which satisfies external criteria. Optimizations using energy methods yield"" forces"" which act upon the state of the neural network. The penalty method, in which\xc2\xa0\xe2\x80\xa6'"
"31","59","1987","A novel network type is introduced which uses unit-length 2-vectors for local variables. As an example of its applications, associative memory nets are defined and their performance analyzed. Real systems corresponding to such'phasor'models can be eg\xc2\xa0\xe2\x80\xa6"""
"32","36","1987","We show how to estimate (1) the number of functions that can be implemented by a particular network architecture,(2) how much analog precision is needed in the connections in the network, and (3) the number of training examples the network must see before it can be expected to form reliable generalizations.'"
"33","1","1987","The brain works in a state-dependent manner: processin9 strate9ies and access to stored information depends on the momentary functional state which is continuously re-adjusted. The state is manifest as spatial confi9uration of the brain electric field. Spontaneous and information-tri9gered brain electric activity is a series of momentary field maps. Adaptive segmentation of spontaneous series into spatially stable epochs (states) exhibited 210 msec mean segments, discontinuous changes. Different maps imply different active neural\xc2\xa0\xe2\x80\xa6'"
"34","16","1987","Advances in brain theory need two complementary approaches: Analytical investigations by in situ measurements and as well synthetic modelling supported by computer simulations to generate suggestive hypothesis on purposeful structures in the neural tissue. In this paper research of the second line is described: Starting from a neurophysiologically inspired model of stimulusresponse (SR) and/or associative memorization and a psychologically motivated ministructure for basic control tasks, pre-conditions and conditions are studied for\xc2\xa0\xe2\x80\xa6'"
"35","15","1987","The new neural network classifier we propose transforms the classification problem into the coding theory problem of decoding a noisy codeword. An input vector in the feature space is transformed into an internal representation which is a codeword in the code space, and then error correction decoded in this space to classify the input feature vector to its class. Two classes of codes which give high performance are the Hadamard matrix code and the maximal length sequence code. We show that the number of classes stored in an N-neuron\xc2\xa0\xe2\x80\xa6'"
"36","9","1987","Much experimental study of real neural networks relies on the proper classification of extracellulary sampled neural signals (ie action potentials) recorded from the brains of experimental animals. In most neurophysiology laboratories this classification task is simplified by limiting investigations to single, electrically well-isolated neurons recorded one at a time. However, for those interested in sampling the activities of many single neurons simultaneously, waveform classification becomes a serious concern. In this paper we\xc2\xa0\xe2\x80\xa6'"
"37","50","1987","The efficient realization, using current silicon technology, of Very Large Connection Networks (VLCN) with more than a billion connections requires that these networks exhibit a high degree of communication locality. Real neural networks exhibit significant locality, yet most connectionist/neural network models have little. In this paper, the connectivity requirements of a simple associative network are analyzed using communication theory. Several techniques based on communication theory are presented that improve the\xc2\xa0\xe2\x80\xa6'"
"38","11","1987","In the present paper we survey and utilize results from the qualitative theory of large scale interconnected dynamical systems in order to develop a qualitative theory for the Hopfield model of neural networks. In our approach we view such networks as an interconnection of\xc2\xa0\xe2\x80\xa6'"
"39","7","1987","A computer model of the hippocampal pyramidal cell (HPC) is described which integrates data from a variety of sources in order to develop a consistent description for this cell type. The model presently includes descriptions of eleven non-linear somatic currents of the HPC, and the electrotonic structure of the neuron is modelled with a soma/short-cable approximation. Model simulations qualitatively or quantitatively reproduce a wide range of somatic electrical behavior i~ HPCs, and demonstrate possible roles for the various currents\xc2\xa0\xe2\x80\xa6'"
"40","157","1987","This paper describes an approach to 2-dimensional object recognition. Complex-log conformal mapping is combined with a distributed associative memory to create a system which recognizes objects regardless of changes in rotation or scale. Recalled information from the memorized database is used to classify an object, reconstruct the memorized version of the object, and estimate the magnitude of changes in scale or rotation. The system response is resistant to moderate amounts of noise and occlusion. Several experiments\xc2\xa0\xe2\x80\xa6'"
"41","2","1987","General formulae for mapping optimization problems into systems of ordinary differential equations associated with artificial neural networks are presented. A comparison is made to optimization using gradient-search methods. The perfonnance measure is the settling time from an initial state to a target state. A simple analytical example illustrates a situation where dynamical systems representing artificial neural network methods would settle faster than those representing gradientsearch. Settling time was investigated for a more complicated\xc2\xa0\xe2\x80\xa6'"
"42","8","1987","The paper presents an artificial neural network concept (the Synchronizable Oscillator Networks) where the instants of individual firings in the form of point processes constitute the only form of information transmitted between joining neurons. This type of communication\xc2\xa0\xe2\x80\xa6'"
"43","0","1987","An efficient method of self-organizing associative databases is proposed together with applications to robot eyesight systems. The proposed databases can associate any input with some output. In the first half part of discussion, an algorithm of self-organization is proposed. From an aspect of hardware, it produces a new style of neural network. In the latter half part, an applicability to handwritten letter recognition and that to an autonomous mobile robot system are demonstrated.'"
"44","31","1987","We have developed a methodology for manually training autononlous control systems based on artificial neural systems (ANS). In applications where the rule set governing an expert's decisions is difficult to formulate, ANS can be used to ext. ra. c: t rules by associating the information an expert receives with the actions h~ takes. Properly constructed networks imitate rules of behavior that permits them to function autonomously when they are trained on the spanning set of possible situations. This training can be provided manually, either\xc2\xa0\xe2\x80\xa6"""
"45","54","1987","Based on anatomical and physiological data, we have developed a computer simulation of piriform (olfactory) cortex which is capable of reproducing spatial and temporal patterns of actual cortical activity under a variety of conditions. Using a simple Hebb-type learning rule in conjunction with the cortical dynamics which emerge from the anatomical and physiological organization of the model, the simulations are capable of establishing cortical representations for different input patterns. The basis of these representations lies in the\xc2\xa0\xe2\x80\xa6'"
"46","2","1987","Patterns of activity over real neural structures are known to exhibit timedependent behavior. It would seem that the brain may be capable of utilizing temporal behavior of activity in neural networks as a way of performing functions which cannot otherwise be easily implemented. These might include the origination of sequential behavior and the recognition of time-dependent stimuli. A model is presented here which uses neuronal populations with recurrent feedback connections in an attempt to observe and describe the resulting time\xc2\xa0\xe2\x80\xa6'"
"47","2","1987","Various simulat. ions of cort. ical subnetworks have evidenced something like phase transitions with respect to key parameters. We demonstrate that. such transi t. ions must. indeed exist. in analogous infinite array models. For related finite array models classical\xc2\xa0\xe2\x80\xa6'"
"48","1","1987","Page 1. DISTRIBUTED NEURAL INFORMATION PROCESSING IN THE VESTIBULO-OCULAR\nSYSTEM Clifford Lau Office of Naval Research Detach ment Pasadena, CA 91106 Vicente\nHonrubia* UCLA Division of Head and Neck Surgery Los Angeles, CA 90024 ABSTRACT\nA new distributed neural information-processing model is proposed to explain the response\ncharacteristics 457 of the vestibulo-ocular system and to reflect more accurately the latest\nanatomical and neurophysiological data on the vestibular afferent fibers and vestibular nuclei\xc2\xa0\xe2\x80\xa6'"
"49","37","1987","A bit-serial VLSI neural network is described from an initial architecture for a synapse array through to silicon layout and board design. The issues surrounding bit-serial computation, and analog/digital arithmetic are discussed and the parallel development of a hybrid\xc2\xa0\xe2\x80\xa6'"
"50","17","1987","We have studied the basins of attraction for fixed point and oscillatory attractors in an electronic analog neural network. Basin measurement circuitry periodically opens the network feedback loop, loads raster-scanned initial conditions and examines the resulting attractor. Plotting the basins for fixed points (memories), we show that overloading an associative memory network leads to irregular basin shapes. The network also includes analog time delay circuitry, and we have shown that delay in symmetric networks can\xc2\xa0\xe2\x80\xa6'"
"51","21","1987","The capacity of an associative memory is defined as the maximum number of vords that can be stored and retrieved reliably by an address vithin a given sphere of attraction. It is shown by sphere packing arguments that as the address length increases. the capacity of any associati ve memory is limited to an exponential grovth rate of 1-h2 (0). vhere h2 (0) is the binary entropy function in bits. and 0 is the radius of the sphere of attraction. This exponential grovth in capacity can actually be achieved by the Kanerva associative memory\xc2\xa0\xe2\x80\xa6'"
"52","15","1987","The hardware needs of many neural computing systems are well matched with the capabilities of optical systemsl, 2, 3. The high interconnectivity required by neural computers can be simply implemented in optics because channels for optical signals may be superimposed in three dimensions with little or no cross coupling. Since these channels may be formed holographically, optical neural systems can be designed to create and maintain interconnections very simply. Thus the optical system designer can to a large extent avoid\xc2\xa0\xe2\x80\xa6'"
"53","65","1987","MURPHY consists of a camera looking at a robot arm, with a connectionist network architecture situated in between. By moving its arm through a small, representative sample of the 1 billion possible joint configurations, MURPHY learns the relationships, backwards\xc2\xa0\xe2\x80\xa6'"
"54","9","1987","This research investigates a new technique for unsupervised learning of nonlinear control problems. The approach is applied both to Michie and Chambers BOXES algorithm and to Barto, Sutton and Anderson's extension, the ASE/ACE system, and has significantly\xc2\xa0\xe2\x80\xa6"""
"55","164","1987","We describe a new learning procedure for networks that contain groups of nonlinear units arranged in a closed loop. The aim of the learning is to discover codes that allow the activity vectors in a"" visible"" group to be represented by activity vectors in a"" hidden"" group. One\xc2\xa0\xe2\x80\xa6'"
"56","0","1987","A computer program has been designed and implemented to allow a researcher to analyze the oscillatory behavior of simulated neural networks with cyclic connectivity. The computer program, implemented on the Texas Instruments Explorer/Odyssey system, and the results of numerous experiments are discussed. The program, CYCLES, allows a user to construct, operate, and inspect neural networks containing cyclic connection paths with the aid of a powerful graphicsbased interface\xc2\xa0\xe2\x80\xa6'"
"57","34","1987","A family of neuromorphic networks specifically designed for communications and optical signal processing applications is presented. The information is encoded utilizing sparse Optical Orthogonal Code sequences on the basis of unipolar, binary (0, 1) signals. The generalized synaptic connectivity matrix is also unipolar, and clipped to binary (0, 1) values. In addition to high-capacity associative memory, the resulting neural networks can be used to implement general functions, such as code filtering, code mapping, code joining, code\xc2\xa0\xe2\x80\xa6'"
"58","7","1987","A binary synaptic matrix chip has been developed for electronic neural networks. The matrix chip contains a programmable 32X32 array of"" long channel"" NMOSFET binary connection elements implemented in a 3-um bulk CMOS process. Since the neurons are kept offchip, the synaptic chip serves as a"" cascadable"" building block for a multi-chip synaptic network as large as 512X512 in size. As an alternative to the programmable NMOSFET (long channel) connection elements, tailored thin film resistors\xc2\xa0\xe2\x80\xa6'"
"59","37","1987","An artificial neural network is developed to recognize spatio-temporal bipolar patterns associatively. The function of a formal neuron is generalized by replacing multiplication with convolution, weights with transfer functions, and thresholding with nonlinear transform following adaptation. The Hebbian learning rule and the delta learning rule are generalized accordingly, resulting in the learning of weights and delays. The neural network which was first developed for spatial patterns was thus generalized for spatio-temporal patterns. It was\xc2\xa0\xe2\x80\xa6'"
"60","26","1987","Artificial neural networks (ANNs) are capable of accurate recognition of simple speech vocabularies such as isolated digits [1]. This paper looks at two more difficult vocabularies, the alphabetic E-set and a set of polysyllabic words. The E-set is difficult because it contains weak discriminants and polysyllables are difficult because of timing variation. Polysyllabic word recognition is aided by a time pre-alignment technique based on dynamic programming and E-set recognition is improved by focusing attention. Recognition\xc2\xa0\xe2\x80\xa6'"
"61","11","1987","We have developed a neural network which consists of cooperatively interconnected Grossberg on-center off-surround subnets and which can be used to optimize a function related to the log likelihood function for decoding convolutional codes or more general FIR\xc2\xa0\xe2\x80\xa6'"
"62","2","1987","Ictalurid catfish use a highly developed gustatory system to localize, track and acquire food from their aquatic environment. The neural organization of the gustatory system illustrates well the importance of the four fundamental ingredients (representation, architecture, search and knowledge) of an"" intelligent"" system. In addition, the"" pipelined"" design of architecture illustrates how a goal-directed system effectively utilizes interactive feedback from its environment. Anatomical analysis of neural networks involved in target-tracking indicated\xc2\xa0\xe2\x80\xa6'"
"63","108","1987","We describe a method of constructing higher-order neural networks that respond invariantly under geometric transformations on the input space. By requiring each unit to satisfy a set of constraints on the interconnection weights, a particular structure is imposed on the network. A network built using such an architecture maintains its invariant performance independent of the values the weights assume, of the learning rules used, and of the form of the nonlinearities in the network. The invariance exhibited by a firstorder network is usually of a\xc2\xa0\xe2\x80\xa6'"
"64","109","1987","This paper deals with a neural network model in which each neuron performs a threshold logic function. An important property of the model is that it always converges to a stable state when operating in a serial mode [2, 5]. This property is the basis of the potential applications of the model such as associative memory devices and combinatorial optimization [3, 6]. One of the motivations for use of the model for solving hard combinatorial problems is the fact that it can be implemented by optical devices and thus operate at a higher speed than\xc2\xa0\xe2\x80\xa6'"
"65","39","1987","We describe a class of connectionist networks that have learned to play backgammon at an intermediate-to-advanced level. TIle networks were trained by a supervised learning procedure on a large set of sample positions evaluated by a human expert. In actual match play against humans and conventional computer programs, the networks demonstrate substantial ability to generalize on the basis of expert knowledge. Our study touches on some of the most important issues in network learning theory, including the development of\xc2\xa0\xe2\x80\xa6'"
"66","2","1987","This paper presents a model of nondeterministic adaptive automata that are constructed from simpler nondeterministic adaptive information processing elements. The first half of the paper describes the model. The second half discusses some of its significant adaptive properties using computer simulation examples. Chief among these properties is that network aggregates of the model elements can adapt appropriately when a single reinforcement channel provides the same positive or negative reinforcement signal to all\xc2\xa0\xe2\x80\xa6'"
"67","7","1987","The complexity and computational capacity of multi-layered, feedforward neural networks is examined. Neural networks for special purpose (structured) functions are examined from the perspective of circuit complexity. Known results in complexity theory are applied to the special instance of neural network circuits, and in particular, classes of functions that can be implemented in shallow circuits characterised. Some conclusions are also drawn about learning complexity, and some open problems raised. The dual problem of determining the\xc2\xa0\xe2\x80\xa6'"
"68","17","1987","The information capacity of Kanerva's Sparse, Distributed Memory (SDM) and Hopfield-type neural networks is investigated. Under the approximations used here, it is shown that the total information stored in these systems is proportional to the number connections in the network. The proportionality constant is the same for the SDM and HopJreld-type models independent of the particular model, or the order of the model. The approximations are checked numerically. This same analysis can be used to show that the SDM can store\xc2\xa0\xe2\x80\xa6"""
"69","5","1987","Recently there has been renewed interest in neural-like processing systems, evidenced for example in the two volumes Parallel Distributed Processing edited by Rumelhart and McClelland, and discussed as parallel distributed systems, connectionist models, neural\xc2\xa0\xe2\x80\xa6'"
