"index","citations","year","Title"
"0","87","1987","An Optimization Network for Matrix Inversion"
"1","94","1987","Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals"
"2","1","1987","Optimal Neural Spike Classification"
"3","5","1987","Centric Models of the Orientation Map in Primary Visual Cortex"
"4","45","1987","PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY"
"5","66","1987","Learning on a General Network"
"6","22","1987","Learning a Color Algorithm from Examples"
"7","73","1987","A Dynamical Approach to Temporal Pattern Processing"
"8","0","1987","On Tropistic Processing and Its Applications"
"9","252","1987","Supervised Learning of Probability Distributions by Neural Networks"
"10","0","1987","An Adaptive and Heterodyne Filtering Procedure for the Imaging of Moving Objects"
"11","1","1987","Spatial Organization of Neural Networks: A Probabilistic Modeling Approach"
"12","0","1987","A Computer Simulation of Cerebral Neocortex: Computational Capabilities of Nonlinear Neural Networks"
"13","9","1987","High Order Neural Networks for Efficient Associative Memory Design"
"14","10","1987","A Novel Net that Learns Sequential Decision Process"
"15","7","1987","Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons"
"16","59","1987","Towards an Organizing Principle for a Layered Perceptual Network"
"17","3","1987","Mathematical Analysis of Learning Behavior of Neuronal Models"
"18","0","1987","Using Neural Networks to Improve Cochlear Implant Speech Perception"
"19","12","1987","Schema for Motor Control Utilizing a Network Model of the Cerebellum"
"20","5","1987","Scaling Properties of Coarse-Coded Symbol Memories"
"21","15","1987","Computing Motion Using Resistive Networks"
"22","13","1987","Neural Network Implementation Approaches for the Connection Machine"
"23","12","1987","PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK"
"24","2","1987","Correlational Strength and Computational Algebra of Synaptic Connections Between Neurons"
"25","108","1987","Static and Dynamic Error Propagation Networks with Application to Speech Coding"
"26","5","1987","New Hardware for Massive Neural Networks"
"27","620","1987","How Neural Nets Work"
"28","230","1987","Neural Net and Traditional Classifiers"
"29","5","1987","HIGH DENSITY ASSOCIATIVE MEMORIES"
"30","109","1987","Constrained Differential Optimization"
"31","59","1987","Phasor Neural Networks"
"32","36","1987","Network Generality, Training Required, and Precision Required"
"33","1","1987","SPONTANEOUS AND INFORMATION-TRIGGERED SEGMENTS OF SERIES OF HUMAN BRAIN ELECTRIC FIELD MAPS"
"34","16","1987","Hierarchical Learning Control - An Approach with Neuron-Like Associative Memories"
"35","15","1987","A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY"
"36","9","1987","Neural Networks for Template Matching: Application to Real-Time Classification of the Action Potentials of Real Neurons"
"37","50","1987","The Connectivity Analysis of Simple Association"
"38","11","1987","Stability Results for Neural Networks"
"39","7","1987","Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons"
"40","157","1987","Invariant Object Recognition Using a Distributed Associative Memory"
"41","2","1987","Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods"
"42","8","1987","Synchronization in Neural Nets"
"43","0","1987","Self-Organization of Associative Database and Its Applications"
"44","31","1987","Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems"
"45","54","1987","A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information"
"46","2","1987","Temporal Patterns of Activity in Neural Networks"
"47","2","1987","Phase Transitions in Neural Networks"
"48","1","1987","Distributed Neural Information Processing in the Vestibulo-Ocular System"
"49","37","1987","Bit-Serial Neural Networks"
"50","17","1987","Basins of Attraction for Electronic Neural Networks"
"51","21","1987","The Capacity of the Kanerva Associative Memory is Exponential"
"52","15","1987","Experimental Demonstrations of Optical Neural Computers"
"53","65","1987","MURPHY: A Robot that Learns by Doing"
"54","9","1987","LEARNING BY STATE RECURRENCE DETECTION"
"55","164","1987","Learning Representations by Recirculation"
"56","0","1987","Cycles: A Simulation Tool for Studying Cyclic Neural Networks"
"57","34","1987","Neuromorphic Networks Based on Sparse Optical Orthogonal Codes"
"58","7","1987","Programmable Synaptic Chip for Electronic Neural Networks"
"59","37","1987","An Artificial Neural Network for Spatio-Temporal Bipolar Patterns: Application to Phoneme Classification"
"60","26","1987","Speech Recognition Experiments with Perceptrons"
"61","11","1987","A Trellis-Structured Neural Network"
"62","2","1987","HOW THE CATFISH TRACKS ITS PREY: AN INTERACTIVE ""PIPELINED"" PROCESSING SYSTEM MAY DIRECT FORAGING VIA RETICULOSPINAL NEURONS"
"63","108","1987","Encoding Geometric Invariances in Higher-Order Neural Networks"
"64","109","1987","On the Power of Neural Networks for Solving Hard Problems"
"65","39","1987","A 'Neural' Network that Learns to Play Backgammon"
"66","2","1987","Learning in Networks of Nondeterministic Adaptive Logic Elements"
"67","7","1987","On Properties of Networks of Neuron-Like Elements"
"68","17","1987","Capacity for Patterns and Sequences in Kanerva's SDM as Compared to Other Associative Memory Models"
"69","5","1987","Connecting to the Past"
"70","9","1987","The Performance of Convex Set Projection Based Neural Networks"
"71","29","1987","A Neural-Network Solution to the Concentrator Assignment Problem"
"72","17","1987","Microelectronic Implementations of Connectionist Neural Networks"
"73","4","1987","A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics"
"74","3","1987","The Sigmoid Nonlinearity in Prepyriform Cortex"
"75","40","1987","Connectivity Versus Entropy"
"76","4","1987","Presynaptic Neural Information Processing"
"77","21","1987","The Hopfield Model with Multi-Level Neurons"
"78","17","1987","Introduction to a System for Implementing Neural Net Connections on SIMD Architectures"
"79","2","1987","Discovering Structure from Motion in Monkey, Man and Machine"
"80","1","1987","A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks"
"81","4","1987","Analysis of Distributed Representation of Constituent Structure in Connectionist Systems"
"82","6","1987","Time-Sequential Self-Organization of Hierarchical Neural Networks"
"83","159","1987","Generalization of Back propagation to Recurrent and Higher Order Neural Networks"
"84","56","1987","Strategies for Teaching Layered Networks Classification Tasks"
"85","9","1987","Probabilistic Characterization of Neural Model Computations"
"86","79","1987","Stochastic Learning Networks and their Electronic Implementation"
"87","4","1987","REFLEXIVE ASSOCIATIVE MEMORIES"
"88","2","1987","Performance Measures for Associative Memories that Learn and Forget"
"89","8","1987","Analysis and Comparison of Different Learning Algorithms for Pattern Association Problems"
"90","2254","1988","What Size Net Gives Valid Generalization?"
