index,citations,year,Abstract,citations_average
0,87,1987,"Inverse matrix calculation can be considered as an optimization. We have demonstrated that this problem can be rapidly solved by highly interconnected simple neuron-like analog processors. A network for matrix inversion based on the concept of Hopfield's neural network\xc2\xa0\xe2\x80\xa6""",2.806451612903226
3,5,1987,"In the visual cortex of the monkey the horizontal organization of the preferred orientations of orientation-selective cells follows two opposing rules: 1) neighbors tend to have similar orientation preferences, and 2) many different orientations are observed in a local region. Several orientation models which satisfy these constraints are found to differ in the spacing and the topological index of their singularities. Using the rate of orientation change as a measure, the models are compared to published experimental results.'",0.16129032258064516
4,45,1987,"The study of distributed memory systems has produced a number of models which work well in limited domains. However, until recently, the application of such systems to realworld problems has been difficult because of storage limitations, and their inherent architectural (and for serial simulation, computational) complexity. Recent development of memories with unrestricted storage capacity and economical feedforward architectures has opened the way to the application of such systems to complex pattern recognition problems. However, such\xc2\xa0\xe2\x80\xa6'",1.4516129032258065
6,22,1987,"A lightness algorithm that separates surface reflectance from illumination in a Mondrian world is synthesized automatically from a set of examples, pairs of input (image irradiance) and desired output (surface reflectance). The algorithm, which resembles a new lightness algorithm recently proposed by Land, is approximately equivalent to filtering the image through a center-surround receptive field in individual chromatic channels. The synthesizing technique, optimal linear estimation, requires only one assumption, that the\xc2\xa0\xe2\x80\xa6'",0.7096774193548387
8,0,1987,The interaction of a set of tropisms is sufficient in many cases to explain the seemingly complex behavioral responses exhibited by varied classes of biological systems to combinations of stimuli. It can be shown that a straightforward generalization of the tropism\xc2\xa0\xe2\x80\xa6',0.0
11,1,1987,"The aim of this paper is to explore the spatial organization of neural networks under Markovian assumptions, in what concerns the behaviour of individual cells and the interconnection mechanism. Spaceorganizational properties of neural nets are very relevant in image modeling and pattern analysis, where spatial computations on stochastic two-dimensional image fields are involved. As a first approach we develop a random neural network model, based upon simple probabilistic assumptions, whose organization is studied\xc2\xa0\xe2\x80\xa6'",0.03225806451612903
13,9,1987,We propose learning rules for recurrent neural networks with high-order interactions between some or all neurons. The designed networks exhibit the desired associative memory function: perfect storage and retrieval of pieces of information and/or sequences of information of any complexity.',0.2903225806451613
17,3,1987,"In this paper, we wish to analyze the convergence behavior of a number of neuronal plasticity models. Recent neurophysiological research suggests that the neuronal behavior is adaptive. In particular, memory stored within a neuron is associated with the synaptic weights which are varied or adjusted to achieve learning. A number of adaptive neuronal models have been proposed in the literature. Three specific models will be analyzed in this paper, specifically the Hebb model, the Sutton-Barto model, and the most recent trace\xc2\xa0\xe2\x80\xa6'",0.0967741935483871
21,15,1987,"To us, and to other biological organisms, vision seems effortless. We open our eyes and we"" see"" the world in all its color, brightness, and movement. Yet, we have great difficulties when trying to endow our machines with similar abilities. In this paper we shall describe recent\xc2\xa0\xe2\x80\xa6'",0.4838709677419355
23,12,1987,"To process sensory data, sensory brain areas must preserve information about both the similarities and differences among learned cues: without the latter, acuity would be lost, whereas without the former, degraded versions of a cue would be erroneously thought to be distinct cues, and would not be recognized. We have constructed a model of piriform cortex incorporating a large number of biophysical, anatomical and physiological parameters, such as two-step excitatory firing thresholds, necessary and sufficient conditions for long-term\xc2\xa0\xe2\x80\xa6'",0.3870967741935484
26,5,1987,Transient phenomena associated with forward biased silicon p+-n-n+ structures at 4.2 K show remarkable similarities with biological neurons. The devices play a role similar to the two-terminal switching elements in Hodgkin-Huxley equivalent circuit diagrams. The devices\xc2\xa0\xe2\x80\xa6',0.16129032258064516
28,230,1987,"Previous work on nets with continuous-valued inputs led to generative procedures to construct convex decision regions with two-layer perceptrons (one hidden layer) and arbitrary decision regions with three-layer perceptrons (two hidden layers). Here we demonstrate that two-layer perceptron classifiers trained with back propagation can form both convex and disjoint decision regions. Such classifiers are robust, train rapidly, and provide good performance with simple decision regions. When complex decision regions\xc2\xa0\xe2\x80\xa6'",7.419354838709677
29,5,1987,"A class of high dens ity assoc iat ive memories is constructed, starting from a description of desired properties those should exhib it. These propert ies include high capac ity, controllable bas ins of attraction and fast speed of convergence. Fortunately enough, the\xc2\xa0\xe2\x80\xa6'",0.16129032258064516
30,109,1987,"Many optimization models of neural networks need constraints to restrict the space of outputs to a subspace which satisfies external criteria. Optimizations using energy methods yield"" forces"" which act upon the state of the neural network. The penalty method, in which\xc2\xa0\xe2\x80\xa6'",3.5161290322580645
31,59,1987,"A novel network type is introduced which uses unit-length 2-vectors for local variables. As an example of its applications, associative memory nets are defined and their performance analyzed. Real systems corresponding to such'phasor'models can be eg\xc2\xa0\xe2\x80\xa6""",1.903225806451613
35,15,1987,"The new neural network classifier we propose transforms the classification problem into the coding theory problem of decoding a noisy codeword. An input vector in the feature space is transformed into an internal representation which is a codeword in the code space, and then error correction decoded in this space to classify the input feature vector to its class. Two classes of codes which give high performance are the Hadamard matrix code and the maximal length sequence code. We show that the number of classes stored in an N-neuron\xc2\xa0\xe2\x80\xa6'",0.4838709677419355
37,50,1987,"The efficient realization, using current silicon technology, of Very Large Connection Networks (VLCN) with more than a billion connections requires that these networks exhibit a high degree of communication locality. Real neural networks exhibit significant locality, yet most connectionist/neural network models have little. In this paper, the connectivity requirements of a simple associative network are analyzed using communication theory. Several techniques based on communication theory are presented that improve the\xc2\xa0\xe2\x80\xa6'",1.6129032258064515
38,11,1987,In the present paper we survey and utilize results from the qualitative theory of large scale interconnected dynamical systems in order to develop a qualitative theory for the Hopfield model of neural networks. In our approach we view such networks as an interconnection of\xc2\xa0\xe2\x80\xa6',0.3548387096774194
39,7,1987,"A computer model of the hippocampal pyramidal cell (HPC) is described which integrates data from a variety of sources in order to develop a consistent description for this cell type. The model presently includes descriptions of eleven non-linear somatic currents of the HPC, and the electrotonic structure of the neuron is modelled with a soma/short-cable approximation. Model simulations qualitatively or quantitatively reproduce a wide range of somatic electrical behavior i~ HPCs, and demonstrate possible roles for the various currents\xc2\xa0\xe2\x80\xa6'",0.22580645161290322
40,157,1987,"This paper describes an approach to 2-dimensional object recognition. Complex-log conformal mapping is combined with a distributed associative memory to create a system which recognizes objects regardless of changes in rotation or scale. Recalled information from the memorized database is used to classify an object, reconstruct the memorized version of the object, and estimate the magnitude of changes in scale or rotation. The system response is resistant to moderate amounts of noise and occlusion. Several experiments\xc2\xa0\xe2\x80\xa6'",5.064516129032258
41,2,1987,General formulae for mapping optimization problems into systems of ordinary differential equations associated with artificial neural networks are presented. A comparison is made to optimization using gradient-search methods. The perfonnance measure is the settling time from an initial state to a target state. A simple analytical example illustrates a situation where dynamical systems representing artificial neural network methods would settle faster than those representing gradientsearch. Settling time was investigated for a more complicated\xc2\xa0\xe2\x80\xa6',0.06451612903225806
42,8,1987,The paper presents an artificial neural network concept (the Synchronizable Oscillator Networks) where the instants of individual firings in the form of point processes constitute the only form of information transmitted between joining neurons. This type of communication\xc2\xa0\xe2\x80\xa6',0.25806451612903225
43,0,1987,"An efficient method of self-organizing associative databases is proposed together with applications to robot eyesight systems. The proposed databases can associate any input with some output. In the first half part of discussion, an algorithm of self-organization is proposed. From an aspect of hardware, it produces a new style of neural network. In the latter half part, an applicability to handwritten letter recognition and that to an autonomous mobile robot system are demonstrated.'",0.0
44,31,1987,"We have developed a methodology for manually training autononlous control systems based on artificial neural systems (ANS). In applications where the rule set governing an expert's decisions is difficult to formulate, ANS can be used to ext. ra. c: t rules by associating the information an expert receives with the actions h~ takes. Properly constructed networks imitate rules of behavior that permits them to function autonomously when they are trained on the spanning set of possible situations. This training can be provided manually, either\xc2\xa0\xe2\x80\xa6""",1.0
45,54,1987,"Based on anatomical and physiological data, we have developed a computer simulation of piriform (olfactory) cortex which is capable of reproducing spatial and temporal patterns of actual cortical activity under a variety of conditions. Using a simple Hebb-type learning rule in conjunction with the cortical dynamics which emerge from the anatomical and physiological organization of the model, the simulations are capable of establishing cortical representations for different input patterns. The basis of these representations lies in the\xc2\xa0\xe2\x80\xa6'",1.7419354838709677
47,2,1987,Various simulat. ions of cort. ical subnetworks have evidenced something like phase transitions with respect to key parameters. We demonstrate that. such transi t. ions must. indeed exist. in analogous infinite array models. For related finite array models classical\xc2\xa0\xe2\x80\xa6',0.06451612903225806
48,1,1987,"Page 1. DISTRIBUTED NEURAL INFORMATION PROCESSING IN THE VESTIBULO-OCULAR\nSYSTEM Clifford Lau Office of Naval Research Detach ment Pasadena, CA 91106 Vicente\nHonrubia* UCLA Division of Head and Neck Surgery Los Angeles, CA 90024 ABSTRACT\nA new distributed neural information-processing model is proposed to explain the response\ncharacteristics 457 of the vestibulo-ocular system and to reflect more accurately the latest\nanatomical and neurophysiological data on the vestibular afferent fibers and vestibular nuclei\xc2\xa0\xe2\x80\xa6'",0.03225806451612903
51,21,1987,The capacity of an associative memory is defined as the maximum number of vords that can be stored and retrieved reliably by an address vithin a given sphere of attraction. It is shown by sphere packing arguments that as the address length increases. the capacity of any associati ve memory is limited to an exponential grovth rate of 1-h2 (0). vhere h2 (0) is the binary entropy function in bits. and 0 is the radius of the sphere of attraction. This exponential grovth in capacity can actually be achieved by the Kanerva associative memory\xc2\xa0\xe2\x80\xa6',0.6774193548387096
52,15,1987,"The hardware needs of many neural computing systems are well matched with the capabilities of optical systemsl, 2, 3. The high interconnectivity required by neural computers can be simply implemented in optics because channels for optical signals may be superimposed in three dimensions with little or no cross coupling. Since these channels may be formed holographically, optical neural systems can be designed to create and maintain interconnections very simply. Thus the optical system designer can to a large extent avoid\xc2\xa0\xe2\x80\xa6'",0.4838709677419355
53,65,1987,"MURPHY consists of a camera looking at a robot arm, with a connectionist network architecture situated in between. By moving its arm through a small, representative sample of the 1 billion possible joint configurations, MURPHY learns the relationships, backwards\xc2\xa0\xe2\x80\xa6'",2.096774193548387
56,0,1987,"A computer program has been designed and implemented to allow a researcher to analyze the oscillatory behavior of simulated neural networks with cyclic connectivity. The computer program, implemented on the Texas Instruments Explorer/Odyssey system, and the results of numerous experiments are discussed. The program, CYCLES, allows a user to construct, operate, and inspect neural networks containing cyclic connection paths with the aid of a powerful graphicsbased interface\xc2\xa0\xe2\x80\xa6'",0.0
57,34,1987,"A family of neuromorphic networks specifically designed for communications and optical signal processing applications is presented. The information is encoded utilizing sparse Optical Orthogonal Code sequences on the basis of unipolar, binary (0, 1) signals. The generalized synaptic connectivity matrix is also unipolar, and clipped to binary (0, 1) values. In addition to high-capacity associative memory, the resulting neural networks can be used to implement general functions, such as code filtering, code mapping, code joining, code\xc2\xa0\xe2\x80\xa6'",1.096774193548387
60,26,1987,"Artificial neural networks (ANNs) are capable of accurate recognition of simple speech vocabularies such as isolated digits [1]. This paper looks at two more difficult vocabularies, the alphabetic E-set and a set of polysyllabic words. The E-set is difficult because it contains weak discriminants and polysyllables are difficult because of timing variation. Polysyllabic word recognition is aided by a time pre-alignment technique based on dynamic programming and E-set recognition is improved by focusing attention. Recognition\xc2\xa0\xe2\x80\xa6'",0.8387096774193549
61,11,1987,We have developed a neural network which consists of cooperatively interconnected Grossberg on-center off-surround subnets and which can be used to optimize a function related to the log likelihood function for decoding convolutional codes or more general FIR\xc2\xa0\xe2\x80\xa6',0.3548387096774194
62,2,1987,"Ictalurid catfish use a highly developed gustatory system to localize, track and acquire food from their aquatic environment. The neural organization of the gustatory system illustrates well the importance of the four fundamental ingredients (representation, architecture, search and knowledge) of an"" intelligent"" system. In addition, the"" pipelined"" design of architecture illustrates how a goal-directed system effectively utilizes interactive feedback from its environment. Anatomical analysis of neural networks involved in target-tracking indicated\xc2\xa0\xe2\x80\xa6'",0.06451612903225806
63,108,1987,"We describe a method of constructing higher-order neural networks that respond invariantly under geometric transformations on the input space. By requiring each unit to satisfy a set of constraints on the interconnection weights, a particular structure is imposed on the network. A network built using such an architecture maintains its invariant performance independent of the values the weights assume, of the learning rules used, and of the form of the nonlinearities in the network. The invariance exhibited by a firstorder network is usually of a\xc2\xa0\xe2\x80\xa6'",3.4838709677419355
65,39,1987,"We describe a class of connectionist networks that have learned to play backgammon at an intermediate-to-advanced level. TIle networks were trained by a supervised learning procedure on a large set of sample positions evaluated by a human expert. In actual match play against humans and conventional computer programs, the networks demonstrate substantial ability to generalize on the basis of expert knowledge. Our study touches on some of the most important issues in network learning theory, including the development of\xc2\xa0\xe2\x80\xa6'",1.2580645161290323
67,7,1987,"The complexity and computational capacity of multi-layered, feedforward neural networks is examined. Neural networks for special purpose (structured) functions are examined from the perspective of circuit complexity. Known results in complexity theory are applied to the special instance of neural network circuits, and in particular, classes of functions that can be implemented in shallow circuits characterised. Some conclusions are also drawn about learning complexity, and some open problems raised. The dual problem of determining the\xc2\xa0\xe2\x80\xa6'",0.22580645161290322
68,17,1987,"The information capacity of Kanerva's Sparse, Distributed Memory (SDM) and Hopfield-type neural networks is investigated. Under the approximations used here, it is shown that the total information stored in these systems is proportional to the number connections in the network. The proportionality constant is the same for the SDM and HopJreld-type models independent of the particular model, or the order of the model. The approximations are checked numerically. This same analysis can be used to show that the SDM can store\xc2\xa0\xe2\x80\xa6""",0.5483870967741935
72,17,1987,"In this paper we discuss why special purpose chips are needed for useful implementations of connectionist neural networks in such applications as pattern recognition and classification. Three chip designs are described: a hybrid digital/analog programmable connection matrix, an analog connection matrix with adjustable connection strengths, and a digital pipe lined best-match chip. The common feature of the designs is the distribution of arithmetic processing power amongst the data storage to minimize data movement.'",0.5483870967741935
76,4,1987,"The potential for presynaptic information processing within the arbor of a single axon will be discussed in this paper. Current knowledge about the activity dependence of the firing threshold, the conditions required for conduction failure, and the similarity of nodes along a\xc2\xa0\xe2\x80\xa6'",0.12903225806451613
77,21,1987,The Hopfield neural network. model for associative memory is generalized. The generalization replaces two state neurons by neurons taking a richer set of values. Two classes of neuron input output relations are developed guaranteeing convergence to stable\xc2\xa0\xe2\x80\xa6',0.6774193548387096
78,17,1987,"Neural networks have attracted much interest recently, and using parallel architectures to simulate neural networks is a natural and necessary application. The SIMD model of parallel computation is chosen, because systems of this type can be built with large numbers of processing elements. However, such systems are not naturally suited to generalized communication. A method is proposed that allows an implementation of neural network connections on massively parallel SIMD architectures. The key to this system is an algorithm\xc2\xa0\xe2\x80\xa6'",0.5483870967741935
79,2,1987,"The ability to obtain three-dimensional structure from visual motion is important for survival of human and non-human primates. Using a parallel processing model, the current work explores how the biological visual system might solve this problem and how the neurophysiologist might go about understanding the solution.'",0.06451612903225806
81,4,1987,"A general method, the tensor product representation, is described for the distributed representation of value/variable bindings. The method allows the fully distributed representation of symbolic structures: the roles in the structures, as well as the fillers for those roles, can be arbitrarily non-local. Fully and partially localized special cases reduce to existing cases of connectionist representations of structured data; the tensor product representation generalizes these and the few existing examples of fuUy distributed\xc2\xa0\xe2\x80\xa6'",0.12903225806451613
85,9,1987,"Information retrieval in a neural network is viewed as a procedure in which the network computes a"" most probable"" or MAP estimate of the unknown information. This viewpoint allows the class of probability distributions, P, the neural network can acquire to be explicitly specified. Learning algorithms for the neural network which search for the"" most probable"" member of P can then be designed. Statistical tests which decide if the"" true"" or environmental probability distribution is in P can also be developed. Example applications of\xc2\xa0\xe2\x80\xa6'",0.2903225806451613
86,79,1987,These algorithms were chosen for ease of implementation in vlsi. We have designed a CMOS test chip in 2 micron rules that can speed up the learning about a millionfold over an equivalent simulation on a VAX lln80. The speedup is due to parallel analog computation for snmming and multiplying weights and activations. and the use of physical processes for generating random noise. The components of the test chip are a noise amplifier. a neuron amplifier. and a 300 transistor adaptive synapse. each of which is separately testable. These\xc2\xa0\xe2\x80\xa6',2.5483870967741935
