index,citations,year,Affiliation0,Affiliation1,Affiliation2,Affiliation3,Affiliation4,Affiliation5,Affiliation6,Affiliation7,Affiliation8,Affiliation9,citations_average
0,87,1987,,Korea Advanced Institute ofScience and Technology',"Professor Emeritus of Electrical Engineering, KAIST, Korea'",,,,,,,,2.806451612903226
3,5,1987,,,,,,,,,,,0.16129032258064516
4,45,1987,,,,,,,,,,,1.4516129032258065
6,22,1987,,,,,,,,,,,0.7096774193548387
8,0,1987,,,,,,,,,,,0.0
11,1,1987,,"Professor of Computer Science, University of Cyprus'",,,,,,,,,0.03225806451612903
13,9,1987,,ClopiNet / ChaLearn',"CNRS & EHESS - LPS, ENS, and CAMS, EHESS, Paris, France'",,,,,,,,0.2903225806451613
17,3,1987,,,,,,,,,,,0.0967741935483871
21,15,1987,Chief Scientist and President',"Associate Professor, London South Bank University'",,,,,,,,,0.4838709677419355
23,12,1987,Professor (Psychological & Brain Sci Dept; Thayer School of Engineering)',,,,,,,,,,0.3870967741935484
26,5,1987,,,,,,,,,,,0.16129032258064516
28,230,1987,,,,,,,,,,,7.419354838709677
29,5,1987,,Weizmann Institute and New York University',,,,,,,,,0.16129032258064516
30,109,1987,Google',,,,,,,,,,3.5161290322580645
31,59,1987,,,,,,,,,,,1.903225806451613
35,15,1987,,,,,,,,,,,0.4838709677419355
37,50,1987,,,,,,,,,,,1.6129032258064515
38,11,1987,,,"Freimann Professor of Electrical Engineering, University of Notre Dame'",,,,,,,,0.3548387096774194
39,7,1987,,,,,,,,,,,0.22580645161290322
40,157,1987,,,,,,,,,,,5.064516129032258
41,2,1987,,,,,,,,,,,0.06451612903225806
42,8,1987,,"Physicist, Brookhaven National Laboratory'",,,,,,,,,0.25806451612903225
43,0,1987,,,,,,,,,,,0.0
44,31,1987,,,,,,,,,,,1.0
45,54,1987,,MIT',,,,,,,,,1.7419354838709677
47,2,1987,,,,,,,,,,,0.06451612903225806
48,1,1987,,,,,,,,,,,0.03225806451612903
51,21,1987,,,,,,,,,,,0.6774193548387096
52,15,1987,,,Ecole Polytechnique Federale de Lausanne',,,,,,,,0.4838709677419355
53,65,1987,Professor of Biomedical Engineering and Neuroscience',,,,,,,,,,2.096774193548387
56,0,1987,,,,,,,,,,,0.0
57,34,1987,,"Bell Communications Research, Professor of Electrical Engineering, Sharif University of\xc2\xa0\xe2\x80\xa6'",,,,,,,,,1.096774193548387
60,26,1987,,,,,,,,,,,0.8387096774193549
61,11,1987,,,,,,,,,,,0.3548387096774194
62,2,1987,Georgetown University',,,,,,,,,,0.06451612903225806
63,108,1987,,,,,,,,,,,3.4838709677419355
65,39,1987,,,,,,,,,,,1.2580645161290323
67,7,1987,"Professor, University of California, Irvine'",,,,,,,,,,0.22580645161290322
68,17,1987,,,,,,,,,,,0.5483870967741935
72,17,1987,University of Glasgow',NEC Laboratories America',,,,,,,,,0.5483870967741935
76,4,1987,,,,,,,,,,,0.12903225806451613
77,21,1987,,,,,,,,,,,0.6774193548387096
78,17,1987,,,,,,,,,,,0.5483870967741935
79,2,1987,,,,,,,,,,,0.06451612903225806
81,4,1987,"Krieger-Eisenhower Professor of Cognitive Science, Johns Hopkins University'",,,,,,,,,,0.12903225806451613
85,9,1987,"Professor of Cognitive Science, University of Texas at Dallas'",,,,,,,,,,0.2903225806451613
86,79,1987,,"New York, NY'",,,,,,,,,2.5483870967741935
87,4,1987,,,,,,,,,,,0.12903225806451613
88,2,1987,,,,,,,,,,,0.06451612903225806
90,2254,1988,,"Scientific Director, UC Santa Cruz Genomics Institute, University of California, Santa Cruz'",,,,,,,,,75.13333333333334
91,682,1988,,,,,,,,,,,22.733333333333334
92,7,1988,,,,,,,,,,,0.23333333333333334
93,48,1988,,,,,,,,,,,1.6
94,5,1988,,,,,,,,,,,0.16666666666666666
96,403,1988,,,,,,,,,,,13.433333333333334
97,207,1988,,,,,,,,,,,6.9
98,13,1988,,,,,,,,,,,0.43333333333333335
100,10,1988,,,,,,,,,,,0.3333333333333333
101,99,1988,Numenta',,,,,,,,,,3.3
102,22,1988,,,,,,,,,,,0.7333333333333333
104,87,1988,,,Weizmann Institute of Science',,,,,,,,2.9
