index,citations,year,Author0,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,citations_average
0,87,1987,Ju-Seog Jang,Soo-Young Lee,Sang-Yung Shin,,,,,,,,,,,,,,,,2.806451612903226
3,5,1987,William Baxter,Bruce Dow,,,,,,,,,,,,,,,,,0.16129032258064516
4,45,1987,Christopher L. Scofield,Douglas L. Reilly,Charles Elbaum,Leon N. Cooper,,,,,,,,,,,,,,,1.4516129032258065
6,22,1987,Tomaso A. Poggio,Anya C. Hurlbert,,,,,,,,,,,,,,,,,0.7096774193548387
8,0,1987,Manuel F. Fernández,,,,,,,,,,,,,,,,,,0.0
11,1,1987,Andreas Stafylopatis,Marios D. Dikaiakos,D. Kontoravdis,,,,,,,,,,,,,,,,0.03225806451612903
13,9,1987,Gérard Dreyfus,Isabelle Guyon,Jean-Pierre Nadal,Léon Personnaz,,,,,,,,,,,,,,,0.2903225806451613
17,3,1987,John Y. Cheung,Massoud Omidvar,,,,,,,,,,,,,,,,,0.0967741935483871
21,15,1987,Christof Koch,Jin Luo,Carver Mead,James Hutchinson,,,,,,,,,,,,,,,0.4838709677419355
23,12,1987,Richard Granger,Jose Ambros-Ingerson,Howard Henry,Gary Lynch,,,,,,,,,,,,,,,0.3870967741935484
26,5,1987,Darryl D. Coon,A. G. Unil Perera,,,,,,,,,,,,,,,,,0.16129032258064516
28,230,1987,William Y. Huang,Richard P. Lippmann,,,,,,,,,,,,,,,,,7.419354838709677
29,5,1987,Amir Dembo,Ofer Zeitouni,,,,,,,,,,,,,,,,,0.16129032258064516
30,109,1987,John C. Platt,Alan H. Barr,,,,,,,,,,,,,,,,,3.5161290322580645
31,59,1987,André J. Noest,,,,,,,,,,,,,,,,,,1.903225806451613
35,15,1987,Tzi-Dar Chiueh,Rodney Goodman,,,,,,,,,,,,,,,,,0.4838709677419355
37,50,1987,Dan Hammerstrom,,,,,,,,,,,,,,,,,,1.6129032258064515
38,11,1987,Anthony N. Michel,Jay A. Farrell,Wolfgang Porod,,,,,,,,,,,,,,,,0.3548387096774194
39,7,1987,Lyle J. Borg-Graham,,,,,,,,,,,,,,,,,,0.22580645161290322
40,157,1987,Harry Wechsler,George Lee Zimmerman,,,,,,,,,,,,,,,,,5.064516129032258
41,2,1987,Harrison MonFook Leong,,,,,,,,,,,,,,,,,,0.06451612903225806
42,8,1987,Jacques J. Vidal,John Haggerty,,,,,,,,,,,,,,,,,0.25806451612903225
43,0,1987,Hisashi Suzuki,Suguru Arimoto,,,,,,,,,,,,,,,,,0.0
44,31,1987,J. F. Shepanski,S. A. Macy,,,,,,,,,,,,,,,,,1.0
45,54,1987,James M. Bower,Matthew A. Wilson,,,,,,,,,,,,,,,,,1.7419354838709677
47,2,1987,Joshua Chover,,,,,,,,,,,,,,,,,,0.06451612903225806
48,1,1987,Clifford Lau,Vicente Honrubia,,,,,,,,,,,,,,,,,0.03225806451612903
51,21,1987,Philip A. Chou,,,,,,,,,,,,,,,,,,0.6774193548387096
52,15,1987,Ken Hsu,David Brady,Demetri Psaltis,,,,,,,,,,,,,,,,0.4838709677419355
53,65,1987,Bartlett W. Mel,,,,,,,,,,,,,,,,,,2.096774193548387
56,0,1987,Michael T. Gately,,,,,,,,,,,,,,,,,,0.0
57,34,1987,Mario P. Vecchi,Jawad A. Salehi,,,,,,,,,,,,,,,,,1.096774193548387
60,26,1987,David J. Burr,,,,,,,,,,,,,,,,,,0.8387096774193549
61,11,1987,Thomas Petsche,Bradley W. Dickinson,,,,,,,,,,,,,,,,,0.3548387096774194
62,2,1987,Jagmeet S. Kanwal,,,,,,,,,,,,,,,,,,0.06451612903225806
63,108,1987,C. Lee Giles,R. D. Griffin,T. Maxwell,,,,,,,,,,,,,,,,3.4838709677419355
65,39,1987,Gerald Tesauro,Terrence J. Sejnowski,,,,,,,,,,,,,,,,,1.2580645161290323
67,7,1987,Pierre Baldi,Santosh S. Venkatesh,,,,,,,,,,,,,,,,,0.22580645161290322
68,17,1987,James D. Keeler,,,,,,,,,,,,,,,,,,0.5483870967741935
72,17,1987,Stuart Mackie,Hans Peter Graf,Daniel B. Schwartz,John S. Denker,,,,,,,,,,,,,,,0.5483870967741935
76,4,1987,L. Richard Carley,,,,,,,,,,,,,,,,,,0.12903225806451613
77,21,1987,Michael Fleisher,,,,,,,,,,,,,,,,,,0.6774193548387096
78,17,1987,Sherryl Tomboulian,,,,,,,,,,,,,,,,,,0.5483870967741935
79,2,1987,Ralph M. Siegel,,,,,,,,,,,,,,,,,,0.06451612903225806
81,4,1987,Paul Smolensky,,,,,,,,,,,,,,,,,,0.12903225806451613
85,9,1987,Richard M. Golden,,,,,,,,,,,,,,,,,,0.2903225806451613
86,79,1987,Joshua Alspector,Robert B. Allen,Victor Hu,Srinagesh Satyanarayana,,,,,,,,,,,,,,,2.5483870967741935
87,4,1987,Hendricus G. Loos,,,,,,,,,,,,,,,,,,0.12903225806451613
88,2,1987,Anthony Kuh,,,,,,,,,,,,,,,,,,0.06451612903225806
90,2254,1988,Eric B. Baum,David Haussler,,,,,,,,,,,,,,,,,75.13333333333334
91,682,1988,J. Lazzaro,S. Ryckebusch,M.A. Mahowald,C. A. Mead,,,,,,,,,,,,,,,22.733333333333334
92,7,1988,Daniel L. Alkon,Francis K. H. Quek,Thomas P. Vogl,,,,,,,,,,,,,,,,0.23333333333333334
93,48,1988,Raoul Tawel,,,,,,,,,,,,,,,,,,1.6
94,5,1988,Mitsuo Komura,Akio Tanaka,,,,,,,,,,,,,,,,,0.16666666666666666
96,403,1988,Stephen Jose Hanson,Lorien Y. Pratt,,,,,,,,,,,,,,,,,13.433333333333334
97,207,1988,Alan H. Kramer,Alberto Sangiovanni-Vincentelli,,,,,,,,,,,,,,,,,6.9
98,13,1988,Martine Naillon,Jean-Bernard Theeten,,,,,,,,,,,,,,,,,0.43333333333333335
100,10,1988,Eugene Santos Jr.,,,,,,,,,,,,,,,,,,0.3333333333333333
101,99,1988,Subutai Ahmad,Gerald Tesauro,,,,,,,,,,,,,,,,,3.3
102,22,1988,David Rogers,,,,,,,,,,,,,,,,,,0.7333333333333333
104,87,1988,Tal Grossman,Ronny Meir,Eytan Domany,,,,,,,,,,,,,,,,2.9
105,4,1988,Allan Hartstein,R. H. Koch,,,,,,,,,,,,,,,,,0.13333333333333333
106,25,1988,Trent E. Lange,Michael G. Dyer,,,,,,,,,,,,,,,,,0.8333333333333334
107,4,1988,Daniel B. Schwartz,R. E. Howard,Wayne E. Hubbard,,,,,,,,,,,,,,,,0.13333333333333333
108,53,1988,Sylvie Ryckebusch,James M. Bower,Carver Mead,,,,,,,,,,,,,,,,1.7666666666666666
111,2,1988,Zhaoping Li,John J. Hopfield,,,,,,,,,,,,,,,,,0.06666666666666667
112,46,1988,Pierre Baldi,,,,,,,,,,,,,,,,,,1.5333333333333334
113,13,1988,Michael G. Paulin,Mark E. Nelson,James M. Bower,,,,,,,,,,,,,,,,0.43333333333333335
115,85,1988,Joshua Alspector,Bhusan Gupta,Robert B. Allen,,,,,,,,,,,,,,,,2.8333333333333335
116,29,1988,Anya Hurlbert,Tomaso Poggio,,,,,,,,,,,,,,,,,0.9666666666666667
117,3,1988,David Feld,Joe Eisenberg,Edwin Lewis,,,,,,,,,,,,,,,,0.1
118,1,1988,M. Konishi,,,,,,,,,,,,,,,,,,0.03333333333333333
120,11,1988,David H. Ackley,,,,,,,,,,,,,,,,,,0.36666666666666664
122,2,1988,John S. Bridle,,,,,,,,,,,,,,,,,,0.06666666666666667
127,180,1988,Griff Bilbro,Reinhold Mann,Thomas K. Miller,Wesley E. Snyder,David E. van den Bout,Mark White,,,,,,,,,,,,,6.0
128,19,1988,Yann Le Cun,Conrad C. Galland,Geoffrey E. Hinton,,,,,,,,,,,,,,,,0.6333333333333333
130,7,1988,Jared Leinbach,,,,,,,,,,,,,,,,,,0.23333333333333334
131,20,1988,M. R. Walker,S. Haghighi,A. Afghan,Larry A. Akers,,,,,,,,,,,,,,,0.6666666666666666
132,33,1988,John G. Harris,,,,,,,,,,,,,,,,,,1.1
133,4,1988,Eric Mjolsness,Gene Gindi,P. Anandan,,,,,,,,,,,,,,,,0.13333333333333333
134,12,1988,Yoshua Bengio,Régis Cardin,Renato de Mori,Piero Cosi,,,,,,,,,,,,,,,0.4
137,1,1988,Jun Zhang,John P. Miller,,,,,,,,,,,,,,,,,0.03333333333333333
138,2,1988,C. L. Winter,,,,,,,,,,,,,,,,,,0.06666666666666667
139,241,1988,Ralph Linsker,,,,,,,,,,,,,,,,,,8.033333333333333
141,169,1988,Alex Waibel,,,,,,,,,,,,,,,,,,5.633333333333334
142,699,1988,Valentino Braitenberg,,,,,,,,,,,,,,,,,,23.3
145,122,1988,Matthew A. Wilson,Upinder S. Bhalla,John D. Uhley,James M. Bower,,,,,,,,,,,,,,,4.066666666666666
146,22,1988,Stanley C. Ahalt,F. D. Garber,I. Jouny,Ashok K. Krishnamurthy,,,,,,,,,,,,,,,0.7333333333333333
148,7,1988,Erich J. Smythe,,,,,,,,,,,,,,,,,,0.23333333333333334
150,20,1988,Phillip Alvelda,A. Miguel San Martin,,,,,,,,,,,,,,,,,0.6666666666666666
151,101,1988,John S. Denker,W. R. Gardner,Hans Peter Graf,Donnie Henderson,R. E. Howard,W. Hubbard,L. D. Jackel,Henry S. Baird,Isabelle Guyon,,,,,,,,,,3.3666666666666667
152,68,1988,Griff L. Bilbro,Wesley E. Snyder,,,,,,,,,,,,,,,,,2.2666666666666666
153,29,1988,James R. Mann,Sheldon Gilbert,,,,,,,,,,,,,,,,,0.9666666666666667
154,34,1988,Charles M. Marcus,R. M. Westervelt,,,,,,,,,,,,,,,,,1.1333333333333333
157,234,1988,John Moody,,,,,,,,,,,,,,,,,,7.8
158,3,1988,James Hendler,,,,,,,,,,,,,,,,,,0.1
163,32,1988,Yoshihiro Mori,Kazuhiko Yokosawa,,,,,,,,,,,,,,,,,1.0666666666666667
164,67,1988,Jordan B. Pollack,,,,,,,,,,,,,,,,,,2.2333333333333334
165,13,1988,Allen M. Waxman,Michael Seibert,Robert K. Cunningham,Jian Wu,,,,,,,,,,,,,,,0.43333333333333335
167,188,1988,Terence D. Sanger,,,,,,,,,,,,,,,,,,6.266666666666667
169,3,1988,Moshe Kam,Roger Cheng,,,,,,,,,,,,,,,,,0.1
171,12,1988,Bill Baird,,,,,,,,,,,,,,,,,,0.4
172,11,1988,Patrice Y. Simard,Mary B. Ottaway,Dana H. Ballard,,,,,,,,,,,,,,,,0.36666666666666664
173,11,1988,Mark A. Gluck,M. Pavel,Van Henkle,,,,,,,,,,,,,,,,0.36666666666666664
175,21,1988,Bahram Nabet,Robert B. Darling,Robert B. Pinter,,,,,,,,,,,,,,,,0.7
176,5,1988,Patric K. Stanton,Terrence J. Sejnowski,,,,,,,,,,,,,,,,,0.16666666666666666
177,51,1988,Randall D. Beer,Hillel J. Chiel,Leon S. Sterling,,,,,,,,,,,,,,,,1.7
178,32,1988,Rodney M. Goodman,John W. Miller,Padhraic Smyth,,,,,,,,,,,,,,,,1.0666666666666667
180,231,1988,Yves Chauvin,,,,,,,,,,,,,,,,,,7.7
181,19,1988,Nigel M. Allinson,Martin J. Johnson,Kevin J. Moon,,,,,,,,,,,,,,,,0.6333333333333333
182,794,1988,Dean A. Pomerleau,,,,,,,,,,,,,,,,,,26.466666666666665
183,15,1988,Jack L. Meador,Clint S. Cole,,,,,,,,,,,,,,,,,0.5
184,75,1989,Richard Rohwer,,,,,,,,,,,,,,,,,,2.586206896551724
186,5,1989,David S. Touretzky,Gillette Elvgreen III,,,,,,,,,,,,,,,,,0.1724137931034483
187,4026,1989,Scott E. Fahlman,Christian Lebiere,,,,,,,,,,,,,,,,,138.82758620689654
189,29,1989,Yoshihiro Mori,Kazuki Joe,,,,,,,,,,,,,,,,,1.0
