index,citations,year,Title,citations_average
0,87,1987,An Optimization Network for Matrix Inversion,2.806451612903226
3,5,1987,Centric Models of the Orientation Map in Primary Visual Cortex,0.16129032258064516
4,45,1987,PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY,1.4516129032258065
6,22,1987,Learning a Color Algorithm from Examples,0.7096774193548387
8,0,1987,On Tropistic Processing and Its Applications,0.0
11,1,1987,Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,0.03225806451612903
13,9,1987,High Order Neural Networks for Efficient Associative Memory Design,0.2903225806451613
17,3,1987,Mathematical Analysis of Learning Behavior of Neuronal Models,0.0967741935483871
21,15,1987,Computing Motion Using Resistive Networks,0.4838709677419355
23,12,1987,PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK,0.3870967741935484
26,5,1987,New Hardware for Massive Neural Networks,0.16129032258064516
28,230,1987,Neural Net and Traditional Classifiers,7.419354838709677
29,5,1987,HIGH DENSITY ASSOCIATIVE MEMORIES,0.16129032258064516
30,109,1987,Constrained Differential Optimization,3.5161290322580645
31,59,1987,Phasor Neural Networks,1.903225806451613
35,15,1987,A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY,0.4838709677419355
37,50,1987,The Connectivity Analysis of Simple Association,1.6129032258064515
38,11,1987,Stability Results for Neural Networks,0.3548387096774194
39,7,1987,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons,0.22580645161290322
40,157,1987,Invariant Object Recognition Using a Distributed Associative Memory,5.064516129032258
41,2,1987,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,0.06451612903225806
42,8,1987,Synchronization in Neural Nets,0.25806451612903225
43,0,1987,Self-Organization of Associative Database and Its Applications,0.0
44,31,1987,Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,1.0
45,54,1987,A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information,1.7419354838709677
47,2,1987,Phase Transitions in Neural Networks,0.06451612903225806
48,1,1987,Distributed Neural Information Processing in the Vestibulo-Ocular System,0.03225806451612903
51,21,1987,The Capacity of the Kanerva Associative Memory is Exponential,0.6774193548387096
52,15,1987,Experimental Demonstrations of Optical Neural Computers,0.4838709677419355
53,65,1987,MURPHY: A Robot that Learns by Doing,2.096774193548387
56,0,1987,Cycles: A Simulation Tool for Studying Cyclic Neural Networks,0.0
57,34,1987,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,1.096774193548387
60,26,1987,Speech Recognition Experiments with Perceptrons,0.8387096774193549
61,11,1987,A Trellis-Structured Neural Network,0.3548387096774194
62,2,1987,"HOW THE CATFISH TRACKS ITS PREY: AN INTERACTIVE ""PIPELINED"" PROCESSING SYSTEM MAY DIRECT FORAGING VIA RETICULOSPINAL NEURONS",0.06451612903225806
63,108,1987,Encoding Geometric Invariances in Higher-Order Neural Networks,3.4838709677419355
65,39,1987,A 'Neural' Network that Learns to Play Backgammon,1.2580645161290323
67,7,1987,On Properties of Networks of Neuron-Like Elements,0.22580645161290322
68,17,1987,Capacity for Patterns and Sequences in Kanerva's SDM as Compared to Other Associative Memory Models,0.5483870967741935
72,17,1987,Microelectronic Implementations of Connectionist Neural Networks,0.5483870967741935
