index,citations,year,Title,citations_average,predicted_citations
0,87,1987,An Optimization Network for Matrix Inversion,2.806451612903226,180.90242270273137
3,5,1987,Centric Models of the Orientation Map in Primary Visual Cortex,0.16129032258064516,96.11356346106906
4,45,1987,PATTERN CLASS DEGENERACY IN AN UNRESTRICTED STORAGE DENSITY MEMORY,1.4516129032258065,24.349511724677793
6,22,1987,Learning a Color Algorithm from Examples,0.7096774193548387,537.8140547931516
8,0,1987,On Tropistic Processing and Its Applications,0.0,16.038628782333227
11,1,1987,Spatial Organization of Neural Networks: A Probabilistic Modeling Approach,0.03225806451612903,393.366864410335
13,9,1987,High Order Neural Networks for Efficient Associative Memory Design,0.2903225806451613,342.8119551902863
17,3,1987,Mathematical Analysis of Learning Behavior of Neuronal Models,0.0967741935483871,450.4025824622168
21,15,1987,Computing Motion Using Resistive Networks,0.4838709677419355,401.12072149305584
23,12,1987,PARTITIONING OF SENSORY DATA BY A CORTICAL NETWORK,0.3870967741935484,106.36231663828953
26,5,1987,New Hardware for Massive Neural Networks,0.16129032258064516,467.2990842220005
28,230,1987,Neural Net and Traditional Classifiers,7.419354838709677,216.30946579797785
29,5,1987,HIGH DENSITY ASSOCIATIVE MEMORIES,0.16129032258064516,27.43043403941708
30,109,1987,Constrained Differential Optimization,3.5161290322580645,103.10028138191804
31,59,1987,Phasor Neural Networks,1.903225806451613,770.5773410218084
35,15,1987,A NEURAL NETWORK CLASSIFIER BASED ON CODING THEORY,0.4838709677419355,236.56870666976027
37,50,1987,The Connectivity Analysis of Simple Association,1.6129032258064515,59.37190523063606
38,11,1987,Stability Results for Neural Networks,0.3548387096774194,579.2630815149804
39,7,1987,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons,0.2258064516129032,25.019150415977286
40,157,1987,Invariant Object Recognition Using a Distributed Associative Memory,5.064516129032258,162.40135740537548
41,2,1987,Optimization with Artificial Neural Network Systems: A Mapping Principle and a Comparison to Gradient Based Methods,0.06451612903225806,167.73573387480855
42,8,1987,Synchronization in Neural Nets,0.25806451612903225,297.16542989223524
43,0,1987,Self-Organization of Associative Database and Its Applications,0.0,31.764815705613955
44,31,1987,Teaching Artificial Neural Systems to Drive: Manual Training Techniques for Autonomous Systems,1.0,159.80361707295108
45,54,1987,A Computer Simulation of Olfactory Cortex with Functional Implications for Storage and Retrieval of Olfactory Information,1.7419354838709675,20.433047535874767
47,2,1987,Phase Transitions in Neural Networks,0.06451612903225806,582.7829988096596
48,1,1987,Distributed Neural Information Processing in the Vestibulo-Ocular System,0.03225806451612903,185.98370927922974
51,21,1987,The Capacity of the Kanerva Associative Memory is Exponential,0.6774193548387096,25.413030975592466
52,15,1987,Experimental Demonstrations of Optical Neural Computers,0.4838709677419355,164.26088826809172
53,65,1987,MURPHY: A Robot that Learns by Doing,2.096774193548387,48.04820586368862
56,0,1987,Cycles: A Simulation Tool for Studying Cyclic Neural Networks,0.0,331.247831867312
57,34,1987,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,1.0967741935483872,297.1755358993008
60,26,1987,Speech Recognition Experiments with Perceptrons,0.8387096774193549,49.60550580547197
61,11,1987,A Trellis-Structured Neural Network,0.3548387096774194,283.7590349071598
62,2,1987,"HOW THE CATFISH TRACKS ITS PREY: AN INTERACTIVE ""PIPELINED"" PROCESSING SYSTEM MAY DIRECT FORAGING VIA RETICULOSPINAL NEURONS",0.06451612903225806,23.103004467411317
63,108,1987,Encoding Geometric Invariances in Higher-Order Neural Networks,3.4838709677419355,339.67148980150586
65,39,1987,A 'Neural' Network that Learns to Play Backgammon,1.2580645161290325,176.9318140878362
67,7,1987,On Properties of Networks of Neuron-Like Elements,0.2258064516129032,307.92512612109016
68,17,1987,Capacity for Patterns and Sequences in Kanerva's SDM as Compared to Other Associative Memory Models,0.5483870967741935,57.38955379485814
72,17,1987,Microelectronic Implementations of Connectionist Neural Networks,0.5483870967741935,463.14678675809535
76,4,1987,Presynaptic Neural Information Processing,0.12903225806451613,250.17501245540734
77,21,1987,The Hopfield Model with Multi-Level Neurons,0.6774193548387096,86.25222138113249
78,17,1987,Introduction to a System for Implementing Neural Net Connections on SIMD Architectures,0.5483870967741935,111.54511669035257
79,2,1987,"Discovering Structure from Motion in Monkey, Man and Machine",0.06451612903225806,34.408620274564676
81,4,1987,Analysis of Distributed Representation of Constituent Structure in Connectionist Systems,0.12903225806451613,102.92578389831506
85,9,1987,Probabilistic Characterization of Neural Model Computations,0.2903225806451613,226.41813064200818
86,79,1987,Stochastic Learning Networks and their Electronic Implementation,2.548387096774193,666.8482553793187
87,4,1987,REFLEXIVE ASSOCIATIVE MEMORIES,0.12903225806451613,2.930395775193235
88,2,1987,Performance Measures for Associative Memories that Learn and Forget,0.06451612903225806,12.471532912206476
90,2254,1988,What Size Net Gives Valid Generalization?,75.13333333333334,28.52683121248785
91,682,1988,Winner-Take-All Networks of O(N) Complexity,22.73333333333333,226.52421340803468
92,7,1988,Computer Modeling of Associative Learning,0.2333333333333333,533.7951846499119
93,48,1988,"Does the Neuron ""Learn"" like the Synapse?",1.6,10.270318427666279
94,5,1988,Speech Production Using A Neural Network with a Cooperative Learning Mechanism,0.16666666666666666,451.200758793328
96,403,1988,Comparing Biases for Minimal Network Construction with Back-Propagation,13.433333333333335,44.311182413615185
97,207,1988,Efficient Parallel Learning Algorithms for Neural Networks,6.9,810.7983842268826
98,13,1988,Neural Approach for TV Image Compression Using a Hopfield Type Network,0.43333333333333335,203.61647909755595
100,10,1988,A Massively Parallel Self-Tuning Context-Free Parser,0.3333333333333333,29.082926980172658
101,99,1988,Scaling and Generalization in Neural Networks: A Case Study,3.3,401.41058584764204
102,22,1988,Statistical Prediction with Kanerva's Sparse Distributed Memory,0.7333333333333333,116.10426919375492
104,87,1988,Learning by Choice of Internal Representations,2.9,531.2626764131155
105,4,1988,A Self-Learning Neural Network,0.13333333333333333,798.5192778691331
106,25,1988,"Dynamic, Non-Local Role Bindings and Inferencing in a Localist Network for Natural Language Understanding",0.8333333333333334,72.70972343746517
107,4,1988,Adaptive Neural Networks Using MOS Charge Storage,0.13333333333333333,407.71216146974905
108,53,1988,Modeling Small Oscillating Biological Networks in Analog VLSI,1.7666666666666666,229.17969472194156
111,2,1988,Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators,0.06666666666666668,26.436211035929134
112,46,1988,Linear Learning: Landscapes and Algorithms,1.5333333333333334,602.7806710423027
113,13,1988,Neural Control of Sensory Acquisition: The Vestibulo-Ocular Reflex,0.43333333333333335,118.5159409396975
115,85,1988,Performance of a Stochastic Learning Microchip,2.833333333333333,568.6890685577637
116,29,1988,A Network for Image Segmentation Using Color,0.9666666666666668,201.98411787689196
117,3,1988,A Passive Shared Element Analog Electrical Cochlea,0.1,1.921286124476996
118,1,1988,Song Learning in Birds,0.03333333333333333,681.9982817975243
120,11,1988,Associative Learning via Inhibitory Search,0.36666666666666653,465.7135908473109
122,2,1988,Speech Recognition: Statistical and Neural Information Processing Approaches,0.06666666666666668,177.093049666162
127,180,1988,Optimization by Mean Field Annealing,6.0,111.98101966253637
128,19,1988,GEMINI: Gradient Estimation Through Matrix Inversion After Noise Injection,0.6333333333333333,78.72129291904842
130,7,1988,Automatic Local Annealing,0.2333333333333333,41.71744751078277
131,20,1988,"Training a Limited-Interconnect, Synthetic Neural IC",0.6666666666666666,217.9350829551697
132,33,1988,An Analog VLSI Chip for Thin-Plate Surface Interpolation,1.1,3.2964845184045397
133,4,1988,Neural Networks for Model Matching and Perceptual Organization,0.13333333333333333,427.0612895641645
134,12,1988,Use of Multi-Layered Networks for Coding Speech with Phonetic Features,0.4,244.18850138319152
